Rayyan ID,Author year,Title,DOI,Study animal,Study species,Study country,Study location,Study latitude / longitude,Production stage,Farming system,Farming system coding,Impact type,Impact details,Impact category,Study type,Study objectives,Mitigation evaluation,Study design,Methodology for data collection,Study length (months),Funding body,Funder,Include/Exclude,Exclusion Reason
279909425,Soto 2006,"Southern Chile, trout and salmon country: Invasion patterns and threats for native species",10.4067/S0716-078X2006000100009,Salmon,"Atlantic salmon (Salmo salar), Coho salmon (Oncorhynchus kisutch), Chinook salmon (Oncorhynchus tshawytscha)",Chile,"11 large lakes and 105 streams, encompassing a total of 13 main hydrographic watersheds of southern Chile","-47.956358, -73.932115",Adult,open-net pen systems,Offshore pens,Ecological,"distribution and abundance patterns of invasive salmon from salmon farms and their potential effects on native fish abundance in lakes, causing threats to freshwater biodiversity","Ecological > Wild fish > Abundance, Ecological > Escaped fish > Abundance",Observational,"""The main purpose of our study is to asses the distribution and abundance of trout and salmon (thereafter referred as “salmonids”) and native fish in freshwater ecosystems of southern Chile. We proposed simple hypotheses such as: (a) patterns of invasions by salmonids should be related to human disturbances such as changes in land use (represented by native forest destruction) and water quality; (b) ecosystems with present salmon farming should have some of the new salmon species getting established as many escapes have been reported; (c) assuming that salmonids may have impacted native fish we could expect the latter to have better conservation status in watersheds with more pristine conditions.",No,Time-series,"11 large glacial lakes were sampled with Gillnets to capture fish in glacial lakes and then analysed and destroyed. 105 streams were sampled by wading along a portion of the stream with a “Smith and Root Model 12B” electro fishing equipment and by setting a seine net down stream, where the fish which escaped direct collection from electro fishing were then caught, identified and counted, used to describe geographical distribution and abundance of salmonids and native fish.",60,"Government, Industry","Lakes Region Government (Fondo Nacional de Desarrollo Regional), by the Fisheries Research Fund (Fondo de Investigación Pesquera 2000-25) and by the FONDECYT project 1020183, a contribution of the Forest Ecosystem Services Millennium (Iniciativa Científica Milenio Chile) project. ",Include,
279909513,Nowak 2004,"Gill histopathology of wild marine fish in Tasmania: potential interactions with gill health of cultured Atlantic salmon, Salmo salar L",10.1111/j.1365-2761.2004.00593.x,Salmon,Atlantic salmon (Salmo salar),Australia,"Tasmania, three Atlantic salmon farm sites and 3 reference sites: two estuarine sites: Hobart Wharf (20 km); Dodges Ferry (40 km); northern Tasmania, one estuarine site: Inspection Head (Tamar) (11 km); eastern Tasmania, two oceanic sites: Coles Bay (140 km) and St Helens (200 km)","-42.908899, 147.393887",Adult,floating sea-cages,Offshore pens,Ecological,Infection prevalence and intensity of parasites of wild fish near salmon farm sites,Ecological > Pathogens > Sea lice,Observational,"""The aim of this study was to survey gill conditions of wild marine fish from several sites around Tasmania and to identify those conditions which may affect cultured species. Potential effects of farming on the gill parasites of wild fish were investigated by sampling both farm sites and reference sites""",No,CI,"Wild fish were caught and checked for gill conditions using routine histology. Captured by angling around the sea-pens or at reference sites, or dip netted from the pens when the pens were crowded for bathing or harvest, or captured using a light trap consisting of a large, fine-mesh hoop-net, placed under a floodlight illuminating the surface of the water at night. Farmed salmon also caught and anaylsed. ",not specified,"Government, Industry","a Fellowship from the Netherlands Ministry for Agriculture, Nature Management and Fisheries to BFN",Include,
279909532,Brooks 2004,"Seven year remediation study at the Carrie Bay Atlantic salmon (Salmo salar) farm in the Broughton Archipelago, British Columbia, Canada",Not found ,Salmon,Atlantic salmon (Salmo salar),Canada,"The Carrie Bay, Stolt Sea, salmon farm in the Broughton Archipelago of British Columbia","50.693079, -126.628959",Adult,open-net pen systems,Offshore pens,Ecological,The macrobenthic response and recovery of benthic habitats impacted by organic wastes from commercial salmon farms,Ecological > Benthos > Community composition,Observational,An analysis of the Carrie Bay Salmon farm over 7yrs between peak production and following fallow periods to investigate the short-term recovery of benthic habitats impacted by organic wastes in comparison to other commercial salmon farms. ,No,Time-series,Twelve benthic surveys over the last 7 years. A regression approach was used: video surveys; a 15 m depth current meter and a drifter study. Single sediment samples were collected along south bearing transects at 15 to 30 m intervals to a distance of 225 m and three replicate reference station samples were collected during most sample periods at hydrologically isolated locations >500 m from the farm. Three additional transects were examined in July 1999 to determine the extent of the farm’s effects and to confirm that the southern transect was most affected. Assessment methods at this site have included periodic video records coupled with physicochemical and infaunal biological surveys. ,15,Not reported,,Include,
279909605,Skilbrei 2014,Using simulated escape events to assess the annual numbers and destinies of escaped farmed Atlantic salmon of different life stages from farm sites in Norway,10.1093/icesjms/fsu133,Salmon,Atlantic salmon (Salmo salar),Norway,Release sites across the whole west coast of Norway from North to South. ,"65.797894, 12.580153","Smolt, Adult",open-net pen systems,Offshore pens,Ecological,escaped farmed salmon represent a significant threat to the genetic integrity of wild populations,Ecological > Escaped fish > Abundance,Experimental,"""The aim of this paper is twofold: (i) study the post-escape behaviour, spread, and recapture of Atlantic salmon post-smolts and adults released from different sites on the Norwegian coast; and (ii) by combining the information thus obtained with a new Monte-Carlo simulation method, assess the issue of unreported escapes by comparing the predicted numbers of escaped farmed salmon with the actual reports from Norwegian fish farms.",No,"Time-series, Modelling","Released post-smolt and adult fish were tagged with T-bar Anchor tags and/or acoutic tags in 3 experiments: 1) Recapture in four bagnets in Altafjord, tagging, and immediate re-release of recently escaped adult Atlantic salmon. 2) Acoustic tagging and release of farmed Atlantic salmon from netpens every year from 2005 to 2010, 3) Releases of out-of-season post-smolts reaered indoors and then released from netpens. Analysis of recapture data and Monte-Carlo simulations. ",60,"Government, Industry","The Norwegian Ministry of Trade, Industry and Fisheries and the Institute of Marine Research in Bergen",Include,
279909680,Bjørn-Steiner 2007,Behavioural responses in wild cod (Gadus morhua L.) exposed to fish holding water,10.1016/j.aquaculture.2006.11.020,Salmon,Atlantic salmon (Salmo salar),Norway,"A farm free area off Sørøya, and areas around Tromsø, Northern Norway","70.058531, 20.285814",Adult,open-net pen systems,Offshore pens,Ecological,Change in migratory behavioural responses in wild Atlantic cod (Gadus morhua L) exposed to water containing metabolites and waste from farmed salmon. ,Ecological > Wild fish > Behaviour,Experimental,"""If the asserted change in behaviour of migrating wild cod populations can be linked to establishment of salmon farms, water-soluble odorants are then likely candidates to explain such a connection. The present experiments were therefore conducted to test behavioural responses in wild Atlantic cod exposed to water containing metabolites and waste from farmed salmon.""",No,Time-series,"13 sets of trials were conducted during different time periods;  1) wild migrating Atlantic cod from a farm free area, caught using purse seine by a local fishing vessel (migratory cod), 2) cod caught at approximately 100 m distance from a salmon fish farm, caught using fish pots (stationary cod), 3) 2yr old farmed cod, originating from a commercial cod hatchery. Each fish group trial were placed in a preference-chamber system consisting of three tanks and different (salmon effluent/feed) concentrations of treatment water experimentally flowed into a chamber to test reaction, movement and time spent  of the fish. in each chamber.",12,"Industry, Research institute",Norwegian Institute of Fisheries and Aquaculture Research (Fiskeriforskning),Include,
279909718,O’higgins 2019,Mismatches in spatial scale of supply and demand and their consequences for local welfare in Scottish aquaculture,10.1139/anc-2018-0025,Salmon,Atlantic salmon (Salmo salar),United Kingdom of Great Britain and Northern Ireland (the),Scotland’s Western Isles,"57.968849, -6.843236",Adult,"open cage, marine-based systems",Offshore pens,Social,social and economic implications of scale mismatch between the nested global and local aquaculture systems,?,Modelling,"""This paper focuses on two scales: local salmon aquaculture in the WI (which is nested in a national context) and its relationship with the globalised industry. We aim to (i) identify and characterise scale mismatches in the Scottish aquaculture industry (using salmon farming in the WI of Scotland as a case study) and their effects on regional resilience; (ii) demonstrate the utility of a systems approach in analysis of scale mismatches for nested social–ecological systems; and (iii) examine the implications for future economic development with matched spatial scales.""",No,Modelling,"We applied the 'Driver Pressure State Impact Response (DPSIR) framework',  to salmon aquaculture in the WI to describe the economic, ecological, and social flow of effects, explicitly recognising local aquaculture as a nested subsystem within the wider global aquaculture industry.",not specified,Not reported,,Include,
279909750,Penston 2011,Densities of planktonic Lepeophtheirus salmonis before and after an Atlantic salmon farm relocation,10.3354/aei00022,Salmon,Atlantic salmon (Salmo salar),United Kingdom of Great Britain and Northern Ireland (the),"The Loch Torridon system on the northwest coast of Scotland, UK, with 3 fjordic basins; Lower Loch Torridon, Loch Shieldaig and Upper Loch Torridon.","57.547709, -5.668046","Smolt, Adult","open cage, marine-based systems",Offshore pens,Ecological,Affects of planktonic Lepeophtheirus salmonis larvae distribution and infection pressure due to Salmon farm relocation .,Ecological > Pathogens > Sea lice,Observational,"""The objective of the present study was to determine if, and how, the relocation of a farm affected the distribution of planktonic Lepeophtheirus salmonis larvae in the Loch Torridon management area. Given that Atlantic salmon farms have been found to be significant sources of larval lice in this study area, the removal of one of the farms could be expected to reduce the densities of larval lice at the site vacated by the farm""",No,BA,"Between February 2004 and February 2008 plankton net sampling took place approximately fortnightly on the same day at 5 sampling stations. 2 production cycles were completed at each farm and some farms relocated to other farms. Samples identified for copepod and nauplii and tested for differences in mean density between cycles, in a parametric bootstrap approach. ",17,Not reported,,Include,
279909869,Heinrich 2006,"Ecology of Chilean dolphins and Peale's dolphins at Isla Chiloe, southern Chile",Not found ,Salmon,Atlantic salmon (Salmo salar),Chile,coastal waters of the eastern Archipiélago de Isla Chiloé in southern Chile,"-42.973679, -73.539184","Not stated, Adult",open-net pen systems,Offshore pens,Ecological,changes in the occurrence and distribution patterns of Chilean dolphins and Peale’s dolphins due to the presence of intensive mariculture (Mussels and Salmon) activities.,Ecological > Marine mammals > Behaviour,Observational,"""The study presented here examines the distribution patterns of small cetaceans in the coastal waters of the Chiloé Archipelago in southern Chile and outlines areas of concern due to spatial overlap with mariculture and other human activities""",No,Time-series,"Boat-based sighting surveys, using determined or randomised transects, were conducted during consecutive austral summers and autumns, recording the position of sightings (GPS position and landmarks) at fixed 15-minute intervals and sighting conditions, species identity, group size (maximum, minimum, best estimates), presence of calves and neonates, a suite of environmental variables (e.g. depth, sea surface temperature), distance to the nearest mariculture structures (determined by laser range finder, < 1000 m) and initial behaviour.",7,"NGO, International body, Research institute","E.B. Shane Award (2000) by the Society for Marine Mammalogy (USA), Kölner Gymnasial & Stiftungsfond (2000, Germany), annual grants from yaqu pacha (Germany) since 2002, the Russel Trust Award (2002) from the University of StAndrews (UK), BP Conservation Silver Award  (UK) for a joint project with F. Viddi (2002), Research Fellowship Award (2003) from the Wildlife Conservation Society (WCS), and individual donations.",Include,
279909879,Ethier 2013,The ecological limits of aquaculture: Comparative performance of salmon production systems,Not found ,Salmon,Salmon (unspecified),"Norway, Chile, Canada, United Kingdom of Great Britain and Northern Ireland (the)",Global,Global,Not stated,"open net-pen, cage, Solid-sided, Flow-through, and recirculating aquaculture system (RAS)","Offshore pens, Semi-closed pens, Recirculating Aquaculture System (RAS)",Ecological,"main ecological impacts of salmon farms that include escapes, organic and inorganic effluents, reliance on wild fish for feed, and increased pathogen loads",?,Modelling,"""To examine the relative ecological impact of alternative production systems. Here I explore alternative farming methods and provide guidance as to how pursuing different paths may impact the future limit of aquaculture. Here I ask: 1. Is the ecological impact per unit of production the same for all production systems? 2. Can a greater amount of farmed salmon be produced for the same level of impact in different production systems? H 0 1. Ecological performance does not differ significantly between the production systems. H 0 2. The quantity of farmed salmon will not differ significantly among the various production systems for the same level of impact.",No,Modelling,"The Farm-Level Aquaculture Performance Index (FLAPI) tool attempts to translate the robust, quantitative assessments of the Global Aquaculture Performance Index (GAPI) and the Monterey Bay Aquarium Aquaculture Scoring Tool to the farm scale. By focusing in at the farm level the relative costs and benefits of different production systems can be assessed and contrasted to demonstrate how transitioning away from conventional net-pen production might result in a net ecological gains.",not specified,NGO,Pew Charitable Trust,Include,
279909895,Ford 2022,The role of community and company identities in the social license to operate for fin-fish farming,10.1016/j.aquaculture.2022.738081,Salmon,Atlantic salmon (Salmo salar),United Kingdom of Great Britain and Northern Ireland (the),"The Isle of Lewis and Harris and the county of Argyll and Bute, Scotland","58.151578, -6.641090",Adult,"open cage, marine-based systems",Offshore pens,Social,crises of social acceptance and perceptions of salmon farming in local communities,Social > Attitudes > General perceptions of aquaculture,Observational,"""The current climate around Scottish fin-fish farming suggests a crises of social acceptance, ultimately questioning whether the industry has a SLO. This study takes an exploratory, qualitative approach to examining the dimensions of this crisis, using the SLO framework, in the geographical communities of Lewis & Harris and Argyll & Bute. The central question for this work is therefore, how is the fish farming industry perceived and experienced at a community level?""",No,Qualitative,"This research was conducted using a grounded theory approach. An inductive, thematic analysis methodology was applied to semi-structured interview response. Constructivist grounded theory is based upon inductive theoretical analyses of data, with data analysis and collection informing each other through the process.",not specified,Government,European Social Fund and the Scottish Funding Council.,Include,
279909899,González 2023,Effects of ethoxyquin on metabolism and composition of active marine microbial communities,10.1016/j.aquaculture.2023.739345,Salmon,Atlantic salmon (Salmo salar),Chile,"two coastal zones: (i) Achao, located in the inner sea of Chiloe, Los Lagos Region; 6 km (3.2 nm) from the closest salmon farm; and (ii) Coliumo Bay, located in south-central Chile, Biobío Region; 2 km (1.07 nm) from the coast - no salmon farms.","-42.076309, -73.815350",Adult,open-net pen systems,Offshore pens,Ecological,"effects of Ethoxyquin EQ (fish food additive) on the active microbial community metabolism and diversity, producing effects on the degradation of organic matter. Negatively impacted key naturally abundant groups such as Planktomarina and potentially key functional groups associated with nitrogen regeneration",Ecological > Microbial > Productivity/biomass,"Experimental, Observational",""" the objective of this study was to evaluate the metabolic response and composition changes of the active microbial plankton community when exposed to ethoxyquin""",No,"Time-series, CI","Water samples were collected using an oceanographic Niskin bottle at different depths at both sites. To assess the effects of EQ on the metabolism and composition of the active microbial community, microcosm experiments were conducted, adding three concentrations of EQ to samples. ",2,Research institute,"the Interdisciplinary Center for Aquaculture Research (INCAR, FONDAP-ANID-Chile, Grants N◦15110027 and 1522A0004).",Include,
279909988,Bain 2008,Genetic analysis of infectious pancreatic necrosis virus from Scotland,10.1111/j.1365-2761.2007.00864.x,Salmon,Atlantic salmon (Salmo salar),United Kingdom of Great Britain and Northern Ireland (the),Across multiple areas of Scotland and the Shetlands isles in salmon farms and wild species. ,"57.258865, -5.500977",Adult,"open cage, marine-based systems",Offshore pens,Ecological,epidemiological links and prevalence of Infectious pancreatic necrosis virus (IPNV) interactions between wild and farmed fish susceptible to IPNV ,Ecological > Pathogens > Infectious disease,Experimental,"""The aim of this study was to analyse the VP2 gene from 36 IPNV isolates from Scotland, to determine whether there are epidemiological links between IPNV isolates from farms, wild fish and the environment and to investigate potential wild and farmed fish interactions""",No,Time-series,"IPVN isolate samples taken from multiple species in the wild and from farmed salmon. The Chinook salmon embryo (CHSE-214) cell line was used to propagate the virus, Phylogenetic analysis, VP2 gene sequencing performed, and DNA sequence analysis. 27 IPNV isolates were cultured, of these, 19 isolates were obtained from wild fish and farmed Atlantic salmon as part of an epidemiological study (Wallace et al. in press) and eight were historical isolates from 1979, 1999 and 2000 from FRS Marine Laboratory, Aberdeen, UK. ",not specified,Not reported,,Include,
279910007,Dempster 2002,Attraction of wild fish to sea-cage fish farms in the south-western Mediterranean Sea: Spatial and short-term temporal variability,Not found ,"Sea bass, Sea bream","Sea bass (Dicentrus labrax), Gilthead sea bream (Sparus aurata)",Spain,300 km stretch of the Spanish coastline in the south-western Mediterranean Sea.,"37.902351, -0.748200",Adult,floating sea-cage,Offshore pens,Ecological,"impacts on the distribution, abundance  and interactions of wild fish species with fish farms",Ecological > Wild fish > community composition,Observational,"""In this study, we sought to determine if the abundance, biomass and species diversity of wild fish were greater around mixed Sparus aurata and Dicentrarchus labrax farms than at nearby open water control locations. Further, we investigated whether the assemblage composition of wild fishes associated with fish farms differed between locations separated by 100s of m to 100s of km and whether assemblages at farms were persistent for weeks to months.""",No,"CI, Time-series","assemblages of fish were counted at each of 9 farms with rapid visual counts using SCUBA within each farm complex and at open water control sites 200 m distant from farms to measure abundance, biomass and number of species at farms and control sites. ",2,Research institute,the Unidad de Biologia Marina at the University of Alicante,Include,
279910110,Jørstad 2008,“Escapes” of Eggs from Farmed Cod Spawning in Net Pens: Recruitment to Wild Stocks,10.1080/10641260701678017,Cod,Atlantic cod (Gadus morhua),Norway,inner part of Heimarkspollen in Austevoll in western Norway and part of the adjacent area in the Fjiords outside. ,"60.042685, 5.071490","Adult, Roe",open-net pen systems,Offshore pens,Ecological,"spawning and successive larval survival with subsequent genetic spread of farmed cod to wild cod stock populations, leading to the negative effects of interbreeding between farmed and wild salmon in terms of a significant reduction in overall fitness.",Ecological > Wild fish > Mortality,Experimental,"""In the present study, genetically marked cod have been raised as broodstock and represent a unique tool for tracing eggs/larvae in the wild environment back to farmed spawning cod in net pens. The fish from the 2003 brood were used in a pilot spawning experiment that aimed to determine the reproductive contribution of farmed fish in sea cages to a wild cod stock in a fjord system.""",No,Time-series,A small net pen facility was established in the inner part of Heimarkspollen and stocked with genetically marked cod. Fish egg surveys were performed weekly thereafter. Collection and Identification of Eggs by vertical hauls of a Ju-day net and sampling of Cod Larvae across numerous stations in the Fjord. Genetic Identification of Cod Larvae of Farmed Origin performed from samples. ,2,Not reported,,Include,
279910123,Paterson 2021,Factors influencing return rate and marine residence duration in sea trout populations in Central Norway,10.1111/jfb.14770,Salmon,Atlantic salmon (Salmo salar),Norway,"three central Norwegian catchments (Fremstad, Sylte and Vatne) and their associated fjord systems (Trondheimsfjorden, Malmefjorden/Frænfjorden and Vatnefjorden–Midtfjorden/Romsdalsfjorden) in central Norway,  with varying salmon farming intensity.","63.251588, 8.233524",Adult,open-net pen systems,Offshore pens,Ecological,changes in Brown trout (Salmo trutta) migration behaviour due to salmon lice (Lepeophtheirus salmonis) infestations,Ecological > Pathogens > Sea lice,Observational,"""In the present study we used passive integrated transponder (PIT) technology to describe the variability in migration behaviour amongst three sea trout populations in central Norway. Specifically, we investigate the combined influences of L. salmonis infestation, out-migration date and fish size on (i) the likelihood of sea trout up-migrating to freshwater during the same year as out-migration and (ii) the marine residence duration during their first out-migration.""",No,"CI, Time-series",Trout were captured over a 3 to 4-year period by a combination of fyke nets and electrofishing and fitted with a unique 12.5 mm PIT tag. Fish movements were detected using stationary bottom radio frequency identification full-duplex antenna. We estimated the mean lice infestation risk for each individual sea trout during their marine residence as a function of the weekly adult female L. salmonis abundance and farm production capacity. ,40,Research institute,"the Miljødirektoratet (Miljødirektoratet), the Norwegian Institute for Nature Research, Fylkesmannen i Møreog Romsdal, Møre og Romsdal fylkeskommune, and Det Norske Veritas (to B.F.).",Include,
279910135,Hagspiel 2024,Company level biodiversity impact assessment: An application to the aquaculture industry in Norway,10.1016/j.marpol.2023.105899,Salmon,Atlantic salmon (Salmo salar),Norway,"36 Salmon farms across the whole of west coast Norway, from North to South.","64.879882, 11.046024",Adult,open-net pen systems,Offshore pens,Ecological,"Biodiversity impact of salmon farms, including; lice counts, escapes, diseases, lice treatments, and bottom condition.","Ecological > Pathogens > Sea lice, Ecological > Escaped fish > Abundance, Ecological > Benthos > Functional diversity",Modelling,"""Despite a sizeable literature on environmental and biodiversity issues within the aquaculture industry as a whole, there is still a clear lack of studies that attempt tomeasure and identify company-level sustainability impacts and performance. In this paper, we fill this gap in the literature by developing an assessment tool that allows to compare individual Norwegian salmon farming companies based on their biodiversity impact during the marine growth phase of salmon when the most dynamic interactions with marine wildlife occur.""",No,Modelling,"Literature review to develop biodiversity impact indicators for salmon farming and chose escapes of farmed salmon, the effect of sea lice, diseases, medicinal usage concerning delousing treatments, and environmental impacts on the seabed in line with the literature studying biodiversity impacts of farmed salmon. We use publicly available data sets from the Directorate of Fisheries and the Norwegian Food Safety Authority of indicator data between 2016 - 2021 and created a multivariate clustering framework model to study the biodiversity footprint of aquaculture companies in Norway..",60,Not reported,,Include,
279910182,Erkinaro 2010,Distribution and biological characteristics of escaped farmed salmon in a major subarctic wild salmon river: implications for monitoring,10.1139/f09-173,Salmon,Atlantic salmon (Salmo salar),"Norway, Finland","the area between 60 and 180 km from the mouth of the River Teno, the headwater rivers Inarijoki and Skiehtsamjohka form the 266 km long border between Finland and Norway, and the lowermost 59 km stretch of the River Teno runs in Norway only.","70.092200, 28.098775",Adult,open-net pen systems,Offshore pens,Ecological,"Impact of escaped farm salmon on the wild populations as the probability to establish feral populations, competition for resources (food, space, mates), genetic introgression through interbreeding, and acting as vectors for harmful diseases and parasites.",Ecological > Wild fish > Mortality,Observational,"""we analyzed the occurrence, distribution, and biological characteristics of escaped farmed salmon in a large salmon river in northernmost Finland and Norway, the River Teno, which supports a very large and genetically diverse wild salmon population complex. We also conducted a preliminary analysis of neutral genetic diversity and divergence in 17 microsatellite loci among wild and escaped farmed salmon and a farmed strain from a nearby aquaculture facility with a view to determining the prospects for future genetic identification of hybridization between wild and escaped individual.""",No,Time-series,"During the fishing season between 20 May and 31 August in 1985–2008, fishermen using various fishing gear collected scale samples from all their catches and off-season sampling included experimental fishing with drift nets over two weeks in late September in 1990 and 1991.  Trained fishermen recorded the total length (centimetres), weight (grams), sex, catch date, and fishing gear used. We performed microsatellite analyses on archived scale samples and extracted DNA from one to four scales per individual salmon using a commercial tissue extraction kit. ",112,"NGO, Research institute",the Maj and Tor Nessling foundation and the Academy of Finland,Include,
279910240,Toledo-Guedes 2013,Influence of a massive aquaculture escape event on artisanal fisheries,10.1111/fme.12059,"Sea bass, Sea bream","Sea bass (Dicentrus labrax), Gilthead sea bream (Sparus aurata)",Spain,"on La Palma, one of the western-most islands of the Canary archipelago, situated in the north-eastern part of the Central Atlantic.","28.455035, -17.840554",Adult,open-net pen systems,Offshore pens,Ecological,"distribution and densities of escaped fish following mass escape event, and potential trophic interactions and spread of disease impacts","Ecological > Escaped fish > Abundance, Ecological > Wild fish > Mortality","Observational, Modelling","""The objectives of the present study were to investigate: (1) spatiotemporal patterns of escapee abundance in the wild; (2) the influence of a nearby marine protected area (MPA) on escaped fish abundance; and (3) the influence of escaped fish on local artisanal fisheries.""",No,"BACI, Modelling","to evaluate the distribution and densities of escapees in coastal habitats through 720 visual census, counted while snorkelling through transects of 100 9 5 m, at between 1 and 5 m depth and localities were randomly chosen at different distances from the escape point (from 0.6 to 60 km). Fisheries data were collected from the two professional fishers association, used to detect the influence of aquaculture escaped fish in artisanal fisheries.",4,Government,"a PhD fellowship from the Canary Island Government, cofinanced by the European Union (FEDER)",Include,
279910319,Trani 2025,"Response of Hard-Bottom Macro-Zoobenthos to the Transition of a Mediterranean Mariculture Fish Plant (Mar Grande of Taranto, Ionian Sea) into an Integrated Multi-Trophic Aquaculture (IMTA) System",10.3390/jmse13010143,"Sea bass, Sea bream","Sea bass (Dicentrus labrax), Gilthead sea bream (Sparus aurata)",Italy,"Maricoltura Mar Grande (MMG) facility, situated along the southwest coast of Mar Grande of Taranto in the Northern Ionian Sea, southern Italy. ","40.433359, 17.238828",Adult,floating sea-cage,Offshore pens,Ecological,changes in hard-bottom macro-zoobenthic assemblages and the environmental implications of Mariculture impact compared to IMTA (Integrated Multi-Trophic Aquaculture) ,Ecological > Benthos > Community composition,Observational,"""This study aims to investigate the response of hard-bottom macro-zoobenthic communities to the conversion of a traditional mariculture plant into an IMTA system at the Maricoltura Mar Grande (MMG) site. By examining changes in hard-bottom macro-zoobenthic assemblages over a four-year period, this research provides critical insights into the environmental implications of transitioning to IMTA and its potential to enhance biodiversity and ecosystem sustainability in mariculture-impacted areas.""",No,"CI, Time-series","The MMG plant was subdivided into two sectors: a treatment area (x2), equipped with bioremediators, and a control area (x2), without bioremediators. Each sampling site measured Environmental Parameters and Biological Sampling was collected by scuba divers using direct hand collection twice a year (winter and summer) from 2018 to 2020 in the four stations and during the summer 2021, for a total of 84 of samples. Abundance of macroinvertebrates was assessed using a qualitative scale, later converted into a numerical scale. ",7,Research institute,"REMEDIA Life project (LIFE16 ENV/IT/000343) and by MASBIA project (Marine Sponges as Bioremediators in Integrated Aquaculture, an ERC SEEDS UNIBA cod. 2023-UNBACLE-0245506)",Include,
279910368,Soto 2022,Environmental risk assessment of non‐native salmonid escapes from net pens in the Chilean Patagonia,10.1111/raq.12711,Salmon,"Atlantic salmon (Salmo salar), Coho salmon (Oncorhynchus kisutch)",Chile,1400 fish farming sites across 32 relevant water bodies (RWBs) in multiple districts in southern Chilean patagonia. ,"-49.386619, -75.405496",Adult,floating sea-cage,Offshore pens,Ecological,environmental consequences of escapes of farmed individuals of Atlantic and Coho Salmon and Trout,?,Modelling,"""The expansion of salmonid farming in remote areas of Chilean Patagonia has raised concerns in the scientific community and society at large regarding impacts from escapes. Here, we attempt to address such concerns by performing a semi-quantitative risk assessment to describe the comparative likelihood and potential environmental consequences of escaped salmonid species in southern Chile based on available information and acknowledging uncertainties. The assessment can be specially relevant to inform more targeted monitoring and field evaluation of impacts, currently very weak.""",No,Modelling,"We estimate risks associated with each salmon or trout species based on a matrix of weighted scores that includes an evaluation of Hazard, Sensitivity, and Exposure. Our approach also considers risk components that might facilitate the survival and eventual establishment of salmonid populations. We base our analysis on a large review of existing scientific information, the expert assessment of the authors, as well as the identification of uncertainties.",120,"Industry, Research institute","the Interdisciplinary Centre for Aquaculture Research (FONDAP N15110027, ANID, Chile) and INVASAL (ANID – Millennium Science Initiative – NCN16_034). CBCA was supported by ANID FONDECYT initiation grant no. 11180897 and JAO was supported by the Chilean Doctoral Studies Fellowship (ANID – Becas Chile 72180095)",Include,
279910393,Crowell 2023,The Opinions of Bc’s Public Fishers on Open Net-Pen Salmon Farms,Not found ,Salmon,Atlantic salmon (Salmo salar),Canada,Communities in and near Vancouver Island around salmon farming areas on the west coast of British Columbia.,"49.948957, -125.167857",Adult,open-net pen systems,Offshore pens,Social,"opinions, perspectives, and attitudes of experienced public fishers that relate to potential environmental and human health risks such as industrial pollutants introduced by the fish farms, destruction of wild fish habitat, ignoring of Indigenous land rights and ownership, Atlantic salmon escapes, disease and sea lice transfer to wild fish, and the use of antibiotics and other potentially harmful chemicals during the process of open net-pen fish cultivation. Causing serious emotional and psychosocial impacts to society. ",Social > Attitudes > General perceptions of aquaculture,Observational,"""My research study collected information about the perceptions, beliefs, and opinions about open net-pen salmon aquaculture on BC’s coast from participants of the public fishery. The public fisheries, also known as the recreation or sport fisheries, “...are usually considered those where fishing is conducted by individuals for sport and leisure, with a possible secondary objective of catching fish for personal consumption. My research question is: To what extent, and if so, why are the members of the SFI opposed to open net-pen salmon aquaculture on BC’s coast?”",No,Qualitative,"""My sequential mixed-method research study used both an on-line survey and open-ended interviews (Creswell & Clark, 2011). Working with a purposeful sample of members from the Sport Fishing Institute of BC (SFI), my research study uncovered more about the reasons and motivations behind the organization’s public stance opposing open net-pen salmon farming on BC’s coast (Sport Fishing Institute, 2018). This is a mixed methods study working predominantly within the interpretive paradigm. The open-ended interview data was collected, analyzed, and developed through grounded theory practice.""",12,Not reported,,Include,
279910405,Kongsvik 2025,Between the devil and the deep blue sea: work safety for contractors in Norwegian fish farming,10.1080/1059924X.2025.2450057,Salmon,Atlantic salmon (Salmo salar),Norway,Online interview with 160 different organizations (fish farms) across west coast Norway,"66.560800, 13.323685",Adult,open-net pen systems,Offshore pens,Social,"occupational safety, high risks of injury and fatality of fish farm employees",Social > Employment,Observational,"""In this study, it will be investigated if there are special challenges related to safety and working conditions for contractors in Norwegian salmon farming. We will explore the following four hypotheses: H1: Compared to fixed employees, a greater proportion of contractors report work absence caused by work-related sickness or injuries during the last 12 months. H2: Compared to fixed employees, a greater proportion of contractors report having experienced near-accidents during the last 2 years. H3: Contractors report challenges related to trust, cooperation, procedures, and safety requirements in their work-related interaction with fish farming companies. H4: Compared to fixed employees, contractors report more work pressure that could compromise safety and report a higher prioritization of production at the expense of safety""",No,Qualitative,"a digital survey distributed to employees in salmon farming, including fish farm employees, operational managers, and vessel crews. 979 respondents employed by the fish farming companies (“fixed employees”) and 304 contractors.",4,Industry,Norwegian Seafood Research Fund under Grant number [901801],Include,
